candle_end_time,big_open,big_close,big_amp,small_open,small_close,small_amp,big_mom,small_mom,pos,trade_time,strategy_amp_adjust,big_net,small_net,strategy_net
2004-01-05,1008.28,1060.8,0.0488950412814555,,,,,,nan,2004-01-05,0.0,1.0,,1.0
2004-01-06,1059.14,1075.66,0.014008295625942857,,,,,,nan,,0.0,1.0140082956259429,,1.0
2004-01-07,1075.56,1086.3,0.009891601435397579,,,,,,nan,,0.0,1.0240384615384615,,1.0
2004-01-08,1087.68,1102.66,0.015060296419037167,,,,,,nan,,0.0,1.0394607843137256,,1.0
2004-01-09,1105.77,1081.79,-0.018926958445939945,,,,,,nan,,0.0,1.0197869532428356,,1.0
2004-01-12,1081.81,1116.8,0.03236302794442536,,,,,,nan,,0.0,1.052790346907994,,1.0
2004-01-13,1120.15,1102.34,-0.012947707736389757,,,,,,nan,,0.0,1.0391591251885368,,1.0
2004-01-14,1101.44,1079.72,-0.020519984759692966,,,,,,nan,,0.0,1.0178355957767724,,1.0
2004-01-15,1078.53,1073.98,-0.005316193087096632,,,,,,nan,,0.0,1.0124245852187028,,1.0
2004-01-16,1076.64,1083.65,0.009003892065029273,,,,,,nan,,0.0,1.021540346907994,,1.0
2004-01-29,1086.66,1100.6,0.015641581691505424,,,,,,nan,,0.0,1.0375188536953242,,1.0
2004-01-30,1102.17,1067.55,-0.030029075049972653,,,,,,nan,,0.0,1.0063631221719458,,1.0
2004-02-02,1107.49,1091.73,0.022649992974568045,,,,,,nan,,0.0,1.0291572398190045,,1.0
2004-02-03,1091.86,1102.95,0.010277266357066273,,,,,,nan,,0.0,1.0397341628959278,,1.0
2004-02-04,1104.74,1128.44,0.02311074844734584,,,,,,nan,,0.0,1.063763197586727,,1.0
2004-02-05,1135.62,1127.9,-0.00047853674098752297,,,,,,nan,,0.0,1.0632541478129716,,1.0
2004-02-06,1125.49,1122.08,-0.005160031917723296,,,,,,nan,,0.0,1.0577677224736048,,1.0
2004-02-09,1122.29,1134.61,0.011166761728218955,,,,,,nan,,0.0,1.0695795625942683,,1.0
2004-02-10,1137.72,1120.96,-0.012030565568785678,,,,,,nan,,0.0,1.056711915535445,,1.0
2004-02-11,1121.81,1110.06,-0.009723808164430525,,,,0.09760221486132381,,nan,,0.0,1.0464366515837105,,1.0
2004-02-12,1110.83,1094.11,-0.014368592688683512,,,,0.03140082956259427,,nan,,0.0,1.0314008295625943,,1.0
2004-02-13,1094.0,1096.36,0.0020564659860526913,,,,0.01924399903315166,,nan,,0.0,1.033521870286576,,1.0
2004-02-16,1098.86,1123.75,0.024982669925936785,,,,0.034474822792966986,,nan,,0.0,1.0593420060331826,,1.0
2004-02-17,1127.1,1123.62,-0.0001156840934372072,,,,0.01900857925380417,,nan,,0.0,1.0592194570135747,,1.0
2004-02-18,1123.7,1129.28,0.005037290187074106,,,,0.043899462927185606,,nan,,0.0,1.064555052790347,,1.0
2004-02-19,1130.4,1122.38,-0.00611008784358158,,,,0.004996418338109043,,nan,,0.0,1.0580505279034693,,1.0
2004-02-20,1122.93,1124.66,0.0020313975658867722,,,,0.020247836420705267,,nan,,0.0,1.0601998491704376,,1.0
2004-02-23,1126.23,1093.14,-0.02802624793270858,,,,0.012429148297706805,,nan,,0.0,1.0304864253393666,,1.0
2004-02-24,1090.25,1093.1,-3.659183636151031e-05,,,,0.017802938602208496,,nan,,0.0,1.0304487179487178,,1.0
2004-02-25,1094.43,1070.36,-0.020803220199432815,,,,-0.01226410741475581,,nan,,0.0,1.0090120663650075,,1.0
2004-02-26,1068.12,1079.9,0.008912889121417189,,,,-0.01880792295111744,,nan,,0.0,1.018005279034691,,1.0
2004-02-27,1081.71,1088.72,0.008167422909528543,,,,0.019830452906187235,,nan,,0.0,1.0263197586727,,1.0
2004-03-01,1089.65,1094.24,0.005070174149459872,,,,0.0022991032581316517,,nan,,0.0,1.0315233785822022,,1.0
2004-03-02,1096.1,1093.39,-0.0007767948530486013,,,,-0.008667663992021346,,nan,,0.0,1.0307220965309203,,1.0
