股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,涨跌幅,收盘价_复权,开盘价_复权,最高价_复权,最低价_复权
bj430418,苏轴股份,2021-11-15,17.98,19.2,16.21,16.21,17.98,2371783.0,41796314.0,645010910.46,1306526000.0,-0.0984427141268075,16.21,17.98,19.2,16.21
bj430418,苏轴股份,2021-11-16,16.25,16.28,15.51,15.61,16.21,908589.0,14321224.0,621136354.86,1258166000.0,-0.037014188772362844,15.61,16.25,16.28,15.51
bj430418,苏轴股份,2021-11-17,15.7,15.94,15.49,15.79,15.61,548025.0,8586034.0,628298721.54,1272674000.0,0.01153106982703389,15.79,15.7,15.94,15.49
bj430418,苏轴股份,2021-11-18,15.96,15.96,15.05,15.3,15.79,419687.0,6493187.0,608801167.8,1233180000.0,-0.031032298923369117,15.3,15.960000000000003,15.960000000000003,15.05
bj430418,苏轴股份,2021-11-19,15.58,15.58,15.08,15.29,15.3,371006.0,5658607.0,608403258.5400001,1232374000.0,-0.0006535947712419388,15.29,15.580000000000002,15.580000000000002,15.08
bj430418,苏轴股份,2021-11-22,15.33,15.5,15.29,15.39,15.29,312682.0,4815305.0,612382351.14,1240434000.0,0.0065402223675605775,15.389999999999999,15.329999999999998,15.5,15.289999999999997
bj430418,苏轴股份,2021-11-23,15.43,16.16,15.43,16.0,15.39,911568.0,14547339.0,636654816.0,1289600000.0,0.03963612735542554,16.0,15.43,16.16,15.43
bj430418,苏轴股份,2021-11-24,16.06,16.36,15.75,15.86,16.0,366689.0,5872364.0,631084086.36,1278316000.0,-0.008750000000000036,15.86,16.06,16.36,15.75
bj430418,苏轴股份,2021-11-25,15.86,16.19,15.86,15.98,15.86,412606.0,6625845.0,635858997.48,1287988000.0,0.007566204287515754,15.979999999999999,15.859999999999998,16.189999999999998,15.859999999999998
bj430418,苏轴股份,2021-11-26,15.55,16.14,15.55,15.86,15.98,456508.0,7267311.0,631084086.36,1278316000.0,-0.007509386733416834,15.859999999999998,15.549999999999999,16.139999999999997,15.549999999999999
bj430418,苏轴股份,2021-11-29,15.61,15.81,15.51,15.77,15.86,471095.0,7382020.0,627502903.02,1271062000.0,-0.00567465321563676,15.769999999999998,15.609999999999998,15.809999999999997,15.509999999999998
bj430418,苏轴股份,2021-11-30,15.76,15.84,15.56,15.63,15.77,350583.0,5480687.0,621932173.38,1259778000.0,-0.00887761572606205,15.63,15.760000000000002,15.84,15.56
bj430418,苏轴股份,2021-12-01,15.53,15.63,15.5,15.52,15.63,228657.0,3554066.0,617555171.52,1250912000.0,-0.007037747920665471,15.519999999999998,15.529999999999998,15.629999999999997,15.499999999999998
bj430418,苏轴股份,2021-12-02,15.5,15.5,15.25,15.26,15.52,382018.0,5878215.0,607209530.76,1229956000.0,-0.01675257731958757,15.259999999999998,15.499999999999998,15.499999999999998,15.249999999999998
bj430418,苏轴股份,2021-12-03,15.2,15.25,14.62,14.79,15.26,407820.0,6112522.0,588507795.54,1192074000.0,-0.0307994757536042,14.79,15.2,15.25,14.62
bj430418,苏轴股份,2021-12-06,14.81,14.98,14.41,14.42,14.79,223637.0,3259389.0,573785152.92,1162252000.0,-0.025016903313049288,14.42,14.81,14.98,14.41
bj430418,苏轴股份,2021-12-07,14.45,14.52,14.14,14.2,14.42,181881.0,2592670.0,565031149.2,1144520000.0,-0.015256588072122046,14.200000000000001,14.450000000000003,14.520000000000001,14.140000000000002
bj430418,苏轴股份,2021-12-08,14.19,14.56,14.19,14.46,14.2,112904.0,1619514.0,575376789.96,1165476000.0,0.018309859154929775,14.460000000000004,14.190000000000003,14.560000000000004,14.190000000000003
bj430418,苏轴股份,2021-12-09,14.32,14.56,14.25,14.49,14.46,96363.0,1389007.0,576570517.74,1167894000.0,0.0020746887966804906,14.490000000000004,14.320000000000004,14.560000000000004,14.250000000000004
bj430418,苏轴股份,2021-12-10,14.44,14.59,14.42,14.51,14.49,88628.0,1285572.0,577366336.26,1169506000.0,0.0013802622498273465,14.510000000000003,14.440000000000003,14.590000000000005,14.420000000000003
bj430418,苏轴股份,2021-12-13,14.5,14.82,14.48,14.8,14.51,124856.0,1833957.0,588905704.8000001,1192880000.0,0.019986216402481105,14.800000000000004,14.500000000000004,14.820000000000002,14.480000000000004
bj430418,苏轴股份,2021-12-14,14.98,15.32,14.88,15.31,14.8,384235.0,5835005.0,609199077.06,1233986000.0,0.034459459459459385,15.310000000000004,14.980000000000004,15.320000000000004,14.880000000000004
bj430418,苏轴股份,2021-12-15,15.29,15.62,15.18,15.53,15.31,451019.0,6978821.0,617953080.78,1251718000.0,0.01436969301110369,15.530000000000001,15.290000000000001,15.620000000000003,15.180000000000001
bj430418,苏轴股份,2021-12-16,15.5,15.62,15.3,15.38,15.53,91414.0,1406884.0,611984441.88,1239628000.0,-0.00965872504829357,15.380000000000003,15.5,15.620000000000003,15.300000000000002
bj430418,苏轴股份,2021-12-17,15.24,15.25,14.91,14.91,15.38,115883.0,1749287.0,593282706.66,1201746000.0,-0.03055916775032519,14.91,15.24,15.250000000000002,14.91
bj430418,苏轴股份,2021-12-20,14.92,15.28,14.72,15.07,14.91,118482.0,1777836.0,599649254.8199999,1214642000.0,0.010731052984574108,15.07,14.92,15.28,14.72
bj430418,苏轴股份,2021-12-21,15.0,15.18,14.9,15.1,15.07,77441.0,1163871.0,600842982.6,1217060000.0,0.001990710019907027,15.099999999999998,14.999999999999998,15.179999999999998,14.899999999999999
bj430418,苏轴股份,2021-12-22,14.9,15.16,14.9,15.11,15.1,92071.0,1381258.0,601240891.86,1217866000.0,0.0006622516556291647,15.109999999999998,14.899999999999999,15.16,14.899999999999999
bj430418,苏轴股份,2021-12-23,15.19,15.19,14.91,14.95,15.11,67147.0,1007976.0,594874343.7,1204970000.0,-0.010589013898080757,14.949999999999996,15.189999999999996,15.189999999999996,14.909999999999997
bj430418,苏轴股份,2021-12-24,14.95,15.0,14.81,14.85,14.95,67300.0,998454.0,590895251.1,1196910000.0,-0.006688963210702337,14.849999999999996,14.949999999999996,14.999999999999996,14.809999999999997
bj430418,苏轴股份,2021-12-27,15.04,15.04,14.8,14.84,14.85,37571.0,558098.0,590497341.84,1196104000.0,-0.0006734006734006037,14.839999999999996,15.039999999999996,15.039999999999996,14.799999999999997
bj430418,苏轴股份,2021-12-28,14.99,14.99,14.82,14.99,14.84,66803.0,996481.0,596465980.74,1208194000.0,0.010107816711590223,14.989999999999997,14.989999999999997,14.989999999999997,14.819999999999997
bj430418,苏轴股份,2021-12-29,15.05,15.33,14.89,15.12,14.99,307847.0,4662018.0,601638801.12,1218672000.0,0.00867244829886582,15.119999999999994,15.049999999999995,15.329999999999993,14.889999999999995
bj430418,苏轴股份,2021-12-30,15.19,15.63,15.0,15.63,15.12,426950.0,6585861.0,621932173.38,1259778000.0,0.03373015873015883,15.629999999999995,15.189999999999994,15.629999999999995,14.999999999999995
bj430418,苏轴股份,2021-12-31,15.68,16.37,15.61,16.0,15.63,810149.0,12994087.0,636654816.0,1289600000.0,0.023672424824056293,15.999999999999995,15.679999999999994,16.369999999999994,15.609999999999994
bj430418,苏轴股份,2022-01-04,15.96,16.29,15.6,15.85,16.0,369263.0,5849098.0,630686177.1,1277510000.0,-0.009375000000000022,15.849999999999996,15.959999999999996,16.289999999999996,15.599999999999996
bj430418,苏轴股份,2022-01-05,15.7,16.0,15.34,15.66,15.85,223708.0,3492105.0,623125901.16,1262196000.0,-0.011987381703470024,15.659999999999997,15.699999999999994,15.999999999999996,15.339999999999996
bj430418,苏轴股份,2022-01-06,15.66,15.66,15.33,15.52,15.66,146532.0,2259274.0,617555171.52,1250912000.0,-0.008939974457215838,15.519999999999996,15.659999999999995,15.659999999999995,15.329999999999997
bj430418,苏轴股份,2022-01-07,15.66,15.75,15.31,15.56,15.52,216166.0,3346912.0,619146808.56,1254136000.0,0.002577319587628857,15.559999999999995,15.659999999999995,15.749999999999995,15.309999999999995
bj430418,苏轴股份,2022-01-10,15.56,16.65,15.41,16.0,15.56,833363.0,13460689.0,636654816.0,1289600000.0,0.028277634961439535,15.999999999999995,15.559999999999995,16.64999999999999,15.409999999999995
bj430418,苏轴股份,2022-01-11,16.21,16.33,15.73,15.91,16.0,214927.0,3409146.0,633073632.66,1282346000.0,-0.005624999999999991,15.909999999999997,16.209999999999997,16.32999999999999,15.729999999999997
bj430418,苏轴股份,2022-01-12,16.13,16.13,15.81,16.09,15.91,133812.0,2138242.0,640235999.34,1296854000.0,0.011313639220615901,16.089999999999996,16.129999999999995,16.129999999999995,15.809999999999997
bj430418,苏轴股份,2022-01-13,16.19,16.3,15.7,15.71,16.09,280072.0,4479399.0,625115447.46,1266226000.0,-0.023617153511497735,15.709999999999997,16.189999999999998,16.299999999999997,15.699999999999996
bj430418,苏轴股份,2022-01-14,15.66,15.97,15.61,15.88,15.71,421490.0,6640355.0,631879904.88,1279928000.0,0.010821133036282626,15.879999999999997,15.659999999999997,15.969999999999995,15.609999999999996
bj430418,苏轴股份,2022-01-17,15.73,16.09,15.73,16.04,15.88,320313.0,5116842.0,638246453.04,1292824000.0,0.010075566750629594,16.039999999999996,15.729999999999997,16.089999999999996,15.729999999999997
bj430418,苏轴股份,2022-01-18,16.18,16.21,15.9,16.01,16.04,175533.0,2804254.0,637052725.26,1290406000.0,-0.0018703241895260403,16.009999999999998,16.179999999999996,16.209999999999997,15.899999999999997
bj430418,苏轴股份,2022-01-19,15.92,16.04,15.79,15.8,16.01,152051.0,2413551.0,628696630.8,1273480000.0,-0.013116801998750871,15.799999999999995,15.919999999999996,16.039999999999992,15.789999999999994
bj430418,苏轴股份,2022-01-20,15.76,16.15,15.63,15.99,15.8,347471.0,5525397.0,636256906.74,1288794000.0,0.012025316455696267,15.989999999999997,15.759999999999996,16.149999999999995,15.629999999999997
bj430418,苏轴股份,2022-01-21,15.91,15.92,15.78,15.87,15.99,183599.0,2903721.0,631481995.62,1279122000.0,-0.0075046904315198,15.869999999999994,15.909999999999995,15.919999999999993,15.779999999999994
bj430418,苏轴股份,2022-01-24,15.73,15.94,15.55,15.82,15.87,215540.0,3392940.0,629492449.32,1275092000.0,-0.003150598613736566,15.819999999999995,15.729999999999995,15.939999999999992,15.549999999999995
bj430418,苏轴股份,2022-01-25,15.76,15.88,15.0,15.39,15.82,208661.0,3200388.0,612382351.14,1240434000.0,-0.02718078381795197,15.389999999999995,15.759999999999994,15.879999999999994,14.999999999999995
bj430418,苏轴股份,2022-01-26,15.16,15.9,15.01,15.73,15.39,278264.0,4289358.0,625911265.98,1267838000.0,0.022092267706302682,15.729999999999995,15.159999999999995,15.899999999999995,15.009999999999996
bj430418,苏轴股份,2022-01-27,15.53,15.53,15.11,15.46,15.73,156439.0,2388981.0,615167715.96,1246076000.0,-0.017164653528289886,15.459999999999996,15.529999999999992,15.529999999999992,15.109999999999994
bj430418,苏轴股份,2022-01-28,15.58,15.58,15.2,15.4,15.46,114647.0,1759421.0,612780260.4,1241240000.0,-0.0038809831824062613,15.399999999999995,15.579999999999997,15.579999999999997,15.199999999999994
bj430418,苏轴股份,2022-02-07,15.49,15.49,15.12,15.15,15.4,81117.0,1230834.0,602832528.9,1221090000.0,-0.016233766233766267,15.149999999999995,15.489999999999997,15.489999999999997,15.119999999999994
bj430418,苏轴股份,2022-02-08,15.07,15.28,15.05,15.28,15.15,91858.0,1391747.0,608005349.28,1231568000.0,0.00858085808580844,15.279999999999994,15.069999999999995,15.279999999999994,15.049999999999995
bj430418,苏轴股份,2022-02-09,15.33,15.49,15.1,15.34,15.28,101830.0,1553000.0,610392804.84,1236404000.0,0.003926701570680757,15.339999999999996,15.329999999999997,15.489999999999997,15.099999999999996
bj430418,苏轴股份,2022-02-10,15.3,15.31,15.2,15.24,15.34,97165.0,1480880.0,606413712.24,1228344000.0,-0.006518904823989535,15.239999999999997,15.299999999999997,15.309999999999997,15.199999999999996
bj430418,苏轴股份,2022-02-11,15.15,15.17,14.78,14.87,15.24,163422.0,2454467.0,591691069.62,1198522000.0,-0.024278215223097144,14.869999999999994,15.149999999999997,15.169999999999995,14.779999999999994
bj430418,苏轴股份,2022-02-14,14.85,14.9,14.47,14.5,14.87,115122.0,1688453.0,576968427.0,1168700000.0,-0.024882313382649568,14.499999999999995,14.849999999999994,14.899999999999995,14.469999999999995
bj430418,苏轴股份,2022-02-15,14.89,14.89,14.47,14.56,14.5,73775.0,1071353.0,579355882.5600001,1173536000.0,0.0041379310344829,14.559999999999999,14.889999999999997,14.889999999999997,14.469999999999999
bj430418,苏轴股份,2022-02-16,14.57,14.81,14.44,14.57,14.56,84101.0,1220900.0,579753791.8199999,1174342000.0,0.0006868131868131844,14.569999999999997,14.569999999999997,14.809999999999997,14.439999999999996
bj430418,苏轴股份,2022-02-17,14.47,14.75,14.37,14.54,14.57,58465.0,842534.0,578560064.04,1171924000.0,-0.002059025394646641,14.539999999999996,14.469999999999997,14.749999999999996,14.369999999999996
bj430418,苏轴股份,2022-02-18,14.54,14.57,14.31,14.47,14.54,28946.0,416997.0,575774699.2199999,1166282000.0,-0.004814305364511551,14.469999999999997,14.539999999999996,14.569999999999997,14.309999999999997
bj430418,苏轴股份,2022-02-21,14.39,14.47,14.3,14.37,14.47,75765.0,1087170.0,571795606.62,1158222000.0,-0.006910850034554383,14.369999999999994,14.389999999999995,14.469999999999994,14.299999999999995
bj430418,苏轴股份,2022-02-22,14.49,14.49,14.14,14.33,14.37,61301.0,873952.0,570203969.5799999,1154998000.0,-0.0027835768963117014,14.329999999999995,14.489999999999995,14.489999999999995,14.139999999999995
bj430418,苏轴股份,2022-02-23,14.38,14.38,14.16,14.3,14.33,87524.0,1244154.0,569010241.8,1152580000.0,-0.002093510118632236,14.299999999999995,14.379999999999994,14.379999999999994,14.159999999999995
