股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,涨跌幅,收盘价_复权,开盘价_复权,最高价_复权,最低价_复权
bj430047,诺思兰德,2021-11-15,18.12,21.68,16.22,16.95,18.08,9792284.0,178722467.0,2310061412.55,4360390940.849999,-0.0625,16.95,18.12,21.68,16.22
bj430047,诺思兰德,2021-11-16,17.5,17.8,16.52,16.89,16.95,4822643.0,80338781.0,2301884204.01,4344955928.67,-0.003539823008849474,16.89,17.5,17.8,16.52
bj430047,诺思兰德,2021-11-17,16.5,16.5,14.68,14.87,16.89,8110294.0,122782457.0,2026584849.83,3825310518.61,-0.11959739490822985,14.87,16.5,16.5,14.68
bj430047,诺思兰德,2021-11-18,14.6,14.61,13.73,13.76,14.87,4194728.0,59129945.0,1875306491.84,3539762793.28,-0.07464694014794881,13.76,14.599999999999998,14.61,13.73
bj430047,诺思兰德,2021-11-19,14.0,15.42,13.78,15.42,13.76,4535915.0,65456231.0,2101542594.78,3966798130.26,0.12063953488372103,15.420000000000002,14.000000000000002,15.420000000000002,13.780000000000001
bj430047,诺思兰德,2021-11-22,15.49,16.3,15.1,15.65,15.42,3440096.0,54109439.0,2132888560.85,4025965676.95,0.0149156939040207,15.650000000000002,15.490000000000002,16.3,15.100000000000001
bj430047,诺思兰德,2021-11-23,15.9,16.01,15.19,15.45,15.65,2523567.0,39327772.0,2105631199.05,3974515636.35,-0.012779552715655007,15.450000000000001,15.9,16.010000000000005,15.190000000000001
bj430047,诺思兰德,2021-11-24,15.58,16.3,15.31,15.76,15.45,1866083.0,29516551.0,2147880109.84,4054263199.28,0.020064724919093946,15.760000000000003,15.580000000000004,16.300000000000004,15.310000000000004
bj430047,诺思兰德,2021-11-25,15.79,15.94,14.95,15.04,15.76,2728322.0,41698921.0,2049753607.36,3869043053.12,-0.045685279187817285,15.040000000000003,15.790000000000003,15.940000000000003,14.950000000000003
bj430047,诺思兰德,2021-11-26,14.83,15.31,14.83,15.2,15.04,991012.0,14885789.0,2071559496.8,3910203085.6,0.010638297872340496,15.200000000000003,14.830000000000004,15.310000000000006,14.830000000000004
bj430047,诺思兰德,2021-11-29,14.98,15.39,14.5,14.64,15.2,1607294.0,23862937.0,1995238883.76,3766142971.92,-0.03684210526315779,14.640000000000004,14.980000000000006,15.390000000000004,14.500000000000004
bj430047,诺思兰德,2021-11-30,14.79,15.03,14.11,14.79,14.64,1582731.0,23033548.0,2015681905.11,3804730502.37,0.010245901639344135,14.790000000000001,14.790000000000001,15.030000000000003,14.110000000000001
