数据由邢不行整理
candle_begin_time,open,high,low,close,volume,median,upper,lower,signal_long,signal_short,signal,ma10,ma50,signal_0
2017-08-17,4261.48,4485.39,4200.74,4285.08,795.1503769999998,4285.08,4285.08,4285.08,,,,4285.08,4285.08,
2017-08-18,4285.08,4371.52,3938.77,4108.37,1199.8882640000004,4196.725,4285.08,4108.370000000001,,4108.37,-1.0,4196.725,4196.725,
2017-08-19,4108.37,4184.69,3850.0,4139.98,381.3097629999999,4177.81,4254.751266344315,4100.868733655686,,,,4177.81,4177.81,
2017-08-20,4139.98,4211.08,4032.62,4086.29,467.08302200000026,4154.93,4232.457105260032,4077.402894739969,,,,4154.93,4154.93,
2017-08-21,4069.13,4119.62,3911.79,4016.0,691.7430600000002,4127.144,4216.006865270033,4038.281134729967,,,,4127.144,4127.144,
2017-08-22,4016.0,4104.82,3400.0,4040.0,966.6848579999996,4112.62,4199.999861715005,4025.240138284995,,,,4112.62,4112.62,
2017-08-23,4040.0,4265.8,4013.89,4114.01,1001.1365649999995,4112.818571428572,4193.718065940249,4031.9190769168945,,,0.0,4112.818571428572,4112.818571428572,4114.01
2017-08-24,4147.0,4371.68,4085.01,4316.01,787.4187529999996,4138.217500000001,4239.4221253574915,4037.01287464251,4316.01,,1.0,4138.217500000001,4138.217500000001,
2017-08-25,4316.01,4453.91,4247.48,4280.68,573.6127400000007,4154.046666666667,4259.44512269584,4048.6482106374947,,,,4154.046666666667,4154.046666666667,
2017-08-26,4280.71,4367.0,4212.41,4337.44,228.10806799999992,4172.386,4286.512821580206,4058.259178419795,,,,4172.386,4172.386,
2017-08-27,4332.51,4400.0,4285.54,4310.01,350.69258499999995,4184.897272727274,4300.682272547938,4069.11227290661,,,,4174.879000000001,4184.897272727274,
2017-08-28,4310.01,4399.82,4124.54,4386.69,603.8416159999997,4201.713333333334,4325.808315123718,4077.6183515429507,,,,4202.711000000001,4201.713333333334,
2017-08-29,4353.65,4625.85,4313.55,4587.48,603.5450280000005,4231.387692307693,4388.81003375573,4073.965350859656,,,,4247.461000000001,4231.387692307693,
2017-08-30,4564.52,4647.51,4416.01,4555.14,808.4687710000001,4254.512857142858,4427.613168252117,4081.412546033598,,,,4294.346000000001,4254.512857142858,
2017-08-31,4555.14,4745.42,4555.14,4724.89,556.9568019999998,4285.8713333333335,4490.158124221916,4081.5845424447502,,,,4365.2350000000015,4285.8713333333335,
2017-09-01,4689.89,4885.55,4654.88,4834.91,560.6663659999999,4320.186250000001,4558.487482080192,4081.8850179198084,,,,4444.726000000001,4320.186250000001,
2017-09-02,4796.16,4939.19,4286.87,4472.14,929.1485950000003,4329.124705882354,4563.059255002343,4095.190156762365,,,,4480.539000000001,4329.124705882354,
2017-09-03,4508.5,4714.76,4298.33,4509.08,691.2161980000004,4339.122222222223,4570.172499039379,4108.071945405068,,,,4499.8460000000005,4339.122222222223,
2017-09-04,4509.08,4527.49,3972.51,4100.11,1394.6446140000003,4326.542631578948,4557.676713646209,4095.408549511688,,,0.0,4481.789000000001,4326.542631578948,4100.11
2017-09-05,4106.97,4484.99,3603.0,4366.47,1228.9381570000012,4328.539000000001,4553.988639496275,4103.089360503726,,,,4484.692000000001,4328.539000000001,
2017-09-06,4366.49,4662.87,4335.26,4619.77,807.3637260000003,4345.273500000001,4579.14063534131,4111.406364658692,4619.77,,1.0,4515.668,4342.407142857143,
2017-09-07,4619.77,4788.59,4438.19,4691.61,500.4299750000001,4374.435500000001,4613.2548876023275,4135.616112397675,,,,4546.16,4358.280000000001,
2017-09-08,4691.66,4735.39,4028.93,4282.8,1132.2550459999995,4381.576500000001,4615.360781299558,4147.792218700444,,,0.0,4515.692,4354.998260869566,4282.8
2017-09-09,4282.8,4426.62,4150.06,4258.81,658.7829520000004,4390.202500000001,4615.97795732154,4164.427042678462,,,,4486.058999999999,4350.990416666667,
2017-09-10,4258.81,4283.0,3801.0,4130.37,660.3732749999998,4395.921000000001,4613.44370396214,4178.398296037863,,4130.37,-1.0,4426.607,4342.1656,
2017-09-11,4153.62,4334.43,4098.91,4208.47,699.9890650000007,4404.344500000001,4610.907026477458,4197.781973522544,,,,4363.963000000001,4337.0234615384625,
2017-09-12,4208.6,4394.59,4040.8,4163.72,879.6303190000007,4406.830000000002,4610.157816690194,4203.50218330981,,,,4333.121000000001,4330.604814814816,
2017-09-13,4159.72,4165.38,3760.0,3944.69,913.4625450000001,4388.264000000002,4614.679017266967,4161.848982733037,,,,4276.682000000001,4316.822142857143,
2017-09-14,3944.0,3993.0,3165.13,3189.02,1665.0215430000003,4333.681000000002,4679.535086110027,3987.826913889978,,,,4185.573,4277.932413793104,
2017-09-15,3188.01,3856.0,2817.0,3700.0,1968.8664919999994,4301.809000000003,4674.201398524731,3929.4166014752745,,,,4118.926,4258.668000000001,
2017-09-16,3674.01,3950.0,3470.66,3714.95,1297.5639529999996,4272.056000000002,4665.766133148744,3878.3458668512603,,,,4028.4440000000004,4241.12870967742,
2017-09-17,3685.23,3748.21,3499.02,3699.99,682.1712100000005,4237.721000000003,4649.466922188675,3825.975077811331,,,,3929.282,4224.218125,
